0	0	0	700	700	0
0	0	0	50	95	0
0	95	0	50	189	0
0	189	0	50	284	0
0	284	0	50	378	0
0	378	0	50	473	0
50	0	0	100	95	0
50	95	0	100	189	0
50	189	0	100	284	0
50	284	0	100	378	0
50	378	0	100	473	0
100	0	0	150	95	0
100	95	0	150	189	0
100	189	0	150	284	0
100	284	0	150	378	0
100	378	0	150	473	0
150	0	0	200	95	0
150	95	0	200	189	0
150	189	0	200	284	0
150	284	0	200	378	0
150	378	0	200	473	0
200	0	0	250	95	0
200	95	0	250	189	0
200	189	0	250	284	0
200	284	0	250	378	0
200	378	0	250	473	0
250	0	0	300	95	0
250	95	0	300	189	0
250	189	0	300	284	0
250	284	0	300	378	0
250	378	0	300	473	0
300	0	0	350	95	0
300	95	0	350	189	0
300	189	0	350	284	0
300	284	0	350	378	0
300	378	0	350	473	0
350	0	0	400	95	0
350	95	0	400	189	0
350	189	0	400	284	0
350	284	0	400	378	0
350	378	0	400	473	0
400	0	0	450	95	0
400	95	0	450	189	0
400	189	0	450	284	0
400	284	0	450	378	0
400	378	0	450	473	0
450	0	0	500	95	0
450	95	0	500	189	0
450	189	0	500	284	0
450	284	0	500	378	0
450	378	0	500	473	0
500	0	0	550	95	0
500	95	0	550	189	0
500	189	0	550	284	0
500	284	0	550	378	0
500	378	0	550	473	0
550	0	0	600	95	0
550	95	0	600	189	0
550	189	0	600	284	0
550	284	0	600	378	0
550	378	0	600	473	0
600	0	0	650	95	0
600	95	0	650	189	0
600	189	0	650	284	0
600	284	0	650	378	0
600	378	0	650	473	0
650	0	0	700	95	0
650	95	0	700	189	0
650	189	0	700	284	0
650	284	0	700	378	0
650	378	0	700	473	0
700	0	0	750	95	0
700	95	0	750	189	0
700	189	0	750	284	0
700	284	0	750	378	0
700	378	0	750	473	0
0	473	0	189	611	0
0	611	0	189	750	0
189	473	0	378	611	0
189	611	0	378	750	0
378	473	0	566	611	0
378	611	0	566	750	0
566	473	0	658	519	0
566	519	0	658	565	0
566	565	0	658	611	0
566	611	0	658	658	0
566	658	0	658	704	0
566	704	0	658	750	0
658	473	0	749	519	0
658	519	0	749	565	0
658	565	0	749	611	0
658	611	0	749	658	0
658	658	0	749	704	0
658	704	0	749	750	0
